epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,13821.7,0.51765,0.47227,1.01183,0.92428,0.86887,0.92125,0.72696,0.83664,0.54949,1.2647,0.0034165,0.0034165,0.0034165
135,13924.5,0.51434,0.46435,1.00535,0.92232,0.87141,0.9217,0.72502,0.83588,0.55414,1.26535,0.003367,0.003367,0.003367
136,14027.2,0.51365,0.45682,1.00092,0.92947,0.88201,0.92531,0.72945,0.82771,0.54282,1.26655,0.0033175,0.0033175,0.0033175
137,14130,0.50783,0.45569,1.00039,0.91991,0.87983,0.92222,0.73193,0.82291,0.53471,1.26562,0.003268,0.003268,0.003268
138,14232.7,0.51243,0.45817,1.00446,0.92464,0.87766,0.92429,0.73447,0.79818,0.52688,1.23728,0.0032185,0.0032185,0.0032185
139,14341.2,0.50084,0.45016,0.99646,0.92296,0.88393,0.92625,0.73508,0.78862,0.53099,1.22308,0.003169,0.003169,0.003169
140,14444,0.50195,0.45168,0.9971,0.92797,0.86674,0.92552,0.73369,0.78619,0.54063,1.22436,0.0031195,0.0031195,0.0031195
141,14546.8,0.49837,0.44467,0.9952,0.92374,0.87149,0.92732,0.73283,0.79374,0.53721,1.22841,0.00307,0.00307,0.00307
142,14649.3,0.49168,0.44683,0.99602,0.92115,0.87431,0.92454,0.73446,0.80851,0.53531,1.23993,0.0030205,0.0030205,0.0030205
143,14752.1,0.49493,0.44335,0.99377,0.92109,0.8901,0.92418,0.7326,0.81562,0.5277,1.24283,0.002971,0.002971,0.002971
144,14854.8,0.50063,0.44682,0.99837,0.92917,0.88531,0.92312,0.73045,0.81573,0.52707,1.23952,0.0029215,0.0029215,0.0029215
145,14957.6,0.50178,0.44456,0.99826,0.93024,0.87264,0.92396,0.73358,0.81302,0.52937,1.24194,0.002872,0.002872,0.002872
146,15060.4,0.4922,0.43415,0.9941,0.94045,0.87183,0.92603,0.73528,0.81544,0.52682,1.24191,0.0028225,0.0028225,0.0028225
147,15163.3,0.48699,0.43155,0.98807,0.94355,0.8809,0.9257,0.73377,0.8122,0.52478,1.24015,0.002773,0.002773,0.002773
148,15266.1,0.4839,0.43731,0.98907,0.9437,0.88115,0.92876,0.7403,0.7987,0.52921,1.22622,0.0027235,0.0027235,0.0027235
149,15369,0.48299,0.42666,0.98222,0.94047,0.88903,0.92774,0.74079,0.80013,0.53367,1.23026,0.002674,0.002674,0.002674
150,15472,0.4825,0.42143,0.98766,0.94773,0.87746,0.92977,0.74031,0.79838,0.53464,1.23004,0.0026245,0.0026245,0.0026245
151,15574.7,0.47345,0.42605,0.98445,0.94164,0.87153,0.92966,0.73464,0.79882,0.52557,1.23417,0.002575,0.002575,0.002575
152,15677.6,0.47786,0.42256,0.98471,0.92743,0.87961,0.92981,0.73821,0.79551,0.52539,1.23077,0.0025255,0.0025255,0.0025255
153,15780.5,0.47344,0.42391,0.98182,0.93746,0.87511,0.93216,0.74049,0.79908,0.51732,1.2326,0.002476,0.002476,0.002476
154,15883.4,0.46647,0.41572,0.97972,0.93735,0.87961,0.92873,0.73953,0.79969,0.52217,1.23073,0.0024265,0.0024265,0.0024265
155,15986.2,0.47392,0.41227,0.98204,0.93592,0.88079,0.92915,0.73636,0.80444,0.52656,1.23157,0.002377,0.002377,0.002377
156,16089,0.46837,0.41824,0.97734,0.93389,0.88067,0.92877,0.73946,0.80548,0.52989,1.2331,0.0023275,0.0023275,0.0023275
157,16191.8,0.4616,0.41591,0.98112,0.93356,0.87708,0.92958,0.73991,0.79787,0.52516,1.22638,0.002278,0.002278,0.002278
158,16294.4,0.46904,0.41439,0.98429,0.93815,0.87285,0.92955,0.73951,0.79787,0.5237,1.22605,0.0022285,0.0022285,0.0022285
159,16397.3,0.4671,0.41529,0.977,0.93206,0.87803,0.93255,0.74302,0.79728,0.52013,1.22788,0.002179,0.002179,0.002179
160,16500.4,0.46025,0.40991,0.97564,0.93722,0.88286,0.93434,0.7466,0.7912,0.51738,1.22328,0.0021295,0.0021295,0.0021295
161,16603.3,0.45372,0.40712,0.97656,0.92859,0.87968,0.92888,0.7471,0.79078,0.51142,1.22346,0.00208,0.00208,0.00208
162,16706.2,0.45341,0.40259,0.97364,0.92944,0.87456,0.92986,0.74848,0.78848,0.51023,1.22314,0.0020305,0.0020305,0.0020305
163,16809.7,0.44931,0.39298,0.97205,0.94449,0.86146,0.93166,0.74945,0.78669,0.50699,1.22417,0.001981,0.001981,0.001981
164,16913.7,0.45546,0.39656,0.9726,0.95003,0.85759,0.93128,0.7472,0.78779,0.51088,1.22684,0.0019315,0.0019315,0.0019315
165,17017.6,0.44971,0.39934,0.96981,0.95848,0.85512,0.9315,0.74665,0.78273,0.5021,1.22801,0.001882,0.001882,0.001882
166,17121.5,0.45208,0.39181,0.97252,0.94999,0.85704,0.93057,0.74798,0.78023,0.50329,1.22545,0.0018325,0.0018325,0.0018325
167,17225.4,0.44564,0.39325,0.96846,0.94925,0.8559,0.9303,0.74789,0.77961,0.50747,1.22171,0.001783,0.001783,0.001783
168,17329.3,0.45263,0.39583,0.97294,0.94858,0.86568,0.93076,0.74936,0.78143,0.50639,1.22537,0.0017335,0.0017335,0.0017335
169,17433.2,0.44342,0.39246,0.96638,0.9496,0.86008,0.93029,0.74692,0.78503,0.50874,1.22848,0.001684,0.001684,0.001684
170,17537.1,0.43997,0.39071,0.96501,0.93779,0.87203,0.93213,0.74978,0.78492,0.50719,1.2245,0.0016345,0.0016345,0.0016345
171,17641.2,0.43807,0.38258,0.96537,0.9423,0.86384,0.93098,0.74993,0.78626,0.51412,1.22338,0.001585,0.001585,0.001585
172,17745.3,0.43566,0.38063,0.96062,0.95332,0.86379,0.93203,0.74873,0.784,0.52115,1.22142,0.0015355,0.0015355,0.0015355
173,17849.1,0.43282,0.38301,0.96363,0.94644,0.86698,0.93246,0.752,0.7778,0.52216,1.21673,0.001486,0.001486,0.001486
174,17953.1,0.43012,0.37425,0.95873,0.94804,0.86511,0.93274,0.75326,0.77685,0.52258,1.21502,0.0014365,0.0014365,0.0014365
175,18057,0.42951,0.3778,0.95928,0.94798,0.86623,0.93187,0.75418,0.77583,0.52402,1.21469,0.001387,0.001387,0.001387
176,18160.9,0.428,0.37505,0.95913,0.92646,0.88003,0.93293,0.75237,0.77343,0.52266,1.21238,0.0013375,0.0013375,0.0013375
177,18264.7,0.42366,0.37394,0.95587,0.92752,0.88305,0.93418,0.75254,0.77325,0.523,1.21042,0.001288,0.001288,0.001288
178,18368.5,0.42153,0.37038,0.95363,0.92212,0.89815,0.93651,0.75336,0.77373,0.52192,1.21056,0.0012385,0.0012385,0.0012385
179,18472.2,0.42236,0.372,0.95654,0.92239,0.9023,0.93714,0.75446,0.77379,0.52053,1.20941,0.001189,0.001189,0.001189
180,18576,0.41711,0.36859,0.95578,0.92479,0.89346,0.93649,0.75421,0.77529,0.52183,1.21052,0.0011395,0.0011395,0.0011395
181,18679.9,0.42058,0.37067,0.95436,0.92667,0.8966,0.93765,0.75093,0.7776,0.52069,1.21309,0.00109,0.00109,0.00109
182,18783.6,0.4207,0.36494,0.95414,0.92499,0.8886,0.93478,0.75149,0.77742,0.52188,1.21342,0.0010405,0.0010405,0.0010405
183,18887.5,0.41386,0.36298,0.95076,0.92485,0.88645,0.93456,0.75045,0.77673,0.52484,1.21393,0.000991,0.000991,0.000991
184,18991.2,0.40913,0.36223,0.95121,0.92478,0.88811,0.93496,0.75175,0.77668,0.52678,1.21324,0.0009415,0.0009415,0.0009415
185,19095.1,0.41341,0.35919,0.95319,0.92378,0.88328,0.93596,0.75184,0.77625,0.5301,1.21133,0.000892,0.000892,0.000892
186,19198.9,0.40996,0.36266,0.95222,0.93834,0.88113,0.93706,0.75189,0.77579,0.52985,1.21187,0.0008425,0.0008425,0.0008425
187,19302.7,0.4086,0.35999,0.95297,0.92395,0.89117,0.93549,0.75178,0.77486,0.52955,1.21202,0.000793,0.000793,0.000793
188,19406.7,0.40534,0.35321,0.94896,0.92382,0.89045,0.93533,0.75037,0.77419,0.52798,1.21241,0.0007435,0.0007435,0.0007435
189,19510.2,0.40503,0.3562,0.9471,0.92071,0.8921,0.93531,0.75269,0.77264,0.52495,1.21157,0.000694,0.000694,0.000694
190,19613.6,0.40491,0.35679,0.95056,0.9437,0.87363,0.93551,0.75229,0.77291,0.52347,1.21328,0.0006445,0.0006445,0.0006445
191,19717.7,0.3428,0.24292,0.90223,0.94672,0.87782,0.93558,0.75343,0.77211,0.52287,1.21356,0.000595,0.000595,0.000595
192,19821.3,0.33359,0.23624,0.89826,0.94693,0.88155,0.93576,0.75349,0.76968,0.51818,1.21331,0.0005455,0.0005455,0.0005455
193,19925.2,0.32583,0.22816,0.89106,0.94558,0.87559,0.93754,0.75648,0.771,0.51913,1.2164,0.000496,0.000496,0.000496
194,20028.8,0.32202,0.22618,0.89437,0.94642,0.87269,0.93581,0.75676,0.77354,0.52039,1.22062,0.0004465,0.0004465,0.0004465
195,20132.3,0.32296,0.22432,0.89096,0.94688,0.87109,0.9362,0.75741,0.77452,0.51883,1.22208,0.000397,0.000397,0.000397
196,20235.2,0.32252,0.23035,0.89398,0.94927,0.87276,0.93749,0.75822,0.77473,0.51598,1.22268,0.0003475,0.0003475,0.0003475
197,20338.2,0.32313,0.22758,0.88958,0.95162,0.87489,0.93941,0.75788,0.77625,0.51336,1.22436,0.000298,0.000298,0.000298
198,20441.7,0.31435,0.2179,0.88874,0.95163,0.87528,0.93945,0.75752,0.77577,0.51134,1.22423,0.0002485,0.0002485,0.0002485
199,20545.3,0.31598,0.21886,0.88859,0.94942,0.87718,0.93763,0.75758,0.77577,0.51008,1.22368,0.000199,0.000199,0.000199
200,20649.1,0.31351,0.21687,0.88783,0.94929,0.87813,0.93773,0.75819,0.77499,0.50828,1.22234,0.0001495,0.0001495,0.0001495
