epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4442.77,0.80367,0.83642,1.19927,0.81017,0.84502,0.85719,0.60748,0.99561,0.76066,1.35881,0.007921,0.007921,0.007921
44,4545.78,0.80012,0.82663,1.18907,0.85213,0.7647,0.84096,0.59862,1.00715,0.77287,1.3754,0.0078715,0.0078715,0.0078715
45,4648.87,0.7938,0.80411,1.18348,0.87147,0.82335,0.88051,0.61504,0.99505,0.74683,1.39241,0.007822,0.007822,0.007822
46,4751.91,0.78811,0.79765,1.18499,0.84904,0.82099,0.86889,0.61843,0.99078,0.74622,1.3732,0.0077725,0.0077725,0.0077725
47,4855.1,0.78584,0.79963,1.17922,0.85233,0.81164,0.8648,0.6125,0.97349,0.75851,1.35335,0.007723,0.007723,0.007723
48,4958.51,0.78069,0.79741,1.1799,0.83616,0.84974,0.86934,0.6171,0.99021,0.74134,1.36102,0.0076735,0.0076735,0.0076735
49,5061.99,0.78001,0.78948,1.18359,0.81546,0.8511,0.86594,0.60854,0.99423,0.77112,1.35445,0.007624,0.007624,0.007624
50,5165.36,0.7688,0.76846,1.16569,0.9091,0.81778,0.88113,0.61804,1.00162,0.71747,1.38524,0.0075745,0.0075745,0.0075745
51,5268.89,0.7717,0.78144,1.16948,0.85302,0.84694,0.88697,0.628,0.97125,0.70771,1.34556,0.007525,0.007525,0.007525
52,5372.49,0.76422,0.76855,1.16385,0.87487,0.83872,0.89075,0.64163,0.98788,0.69283,1.34932,0.0074755,0.0074755,0.0074755
53,5476.04,0.76067,0.75485,1.16545,0.87225,0.83625,0.88423,0.63825,0.98407,0.69783,1.34258,0.007426,0.007426,0.007426
1,106.964,1.15827,1.82136,1.45222,0.59584,0.57651,0.59104,0.33686,1.32447,1.43193,1.6864,0.00332749,0.00332749,0.00332749
2,210.996,1.05683,1.35299,1.36537,0.65836,0.5994,0.65453,0.37382,1.34615,1.37919,1.69702,0.00662785,0.00662785,0.00662785
3,314.488,1.11823,1.40472,1.40358,0.53805,0.54042,0.51779,0.28729,1.47495,1.63778,1.82427,0.00989521,0.00989521,0.00989521
4,417.575,1.18361,1.48118,1.45601,0.55003,0.58317,0.54296,0.27414,1.56121,2.06905,1.92356,0.0098515,0.0098515,0.0098515
5,520.641,1.16465,1.43316,1.44606,0.62927,0.59593,0.63986,0.35114,1.40073,1.3953,1.80339,0.009802,0.009802,0.009802
6,623.788,1.14337,1.40162,1.43139,0.60869,0.57024,0.55471,0.30378,1.46724,2.04121,1.86425,0.0097525,0.0097525,0.0097525
7,726.6,1.12059,1.35748,1.41911,0.78852,0.5952,0.71781,0.43521,1.31372,1.31913,1.66145,0.009703,0.009703,0.009703
8,829.806,1.09248,1.30069,1.40105,0.70989,0.70557,0.73382,0.42131,1.32955,1.24999,1.6985,0.0096535,0.0096535,0.0096535
9,933.298,1.07687,1.28557,1.38809,0.66521,0.67417,0.71527,0.42873,1.29694,1.25691,1.66831,0.009604,0.009604,0.009604
10,1036.88,1.05866,1.25429,1.38385,0.79518,0.66543,0.75728,0.47085,1.26054,1.11184,1.60871,0.0095545,0.0095545,0.0095545
11,1140.64,1.04197,1.2145,1.36222,0.7974,0.6969,0.76337,0.4637,1.2168,1.04826,1.57739,0.009505,0.009505,0.009505
12,1244.39,1.0325,1.21756,1.35787,0.74301,0.71414,0.76778,0.47652,1.19388,1.09195,1.5718,0.0094555,0.0094555,0.0094555
13,1348.13,1.02941,1.19797,1.36174,0.76379,0.68576,0.71463,0.42913,1.23902,1.39202,1.62205,0.009406,0.009406,0.009406
14,1451.84,1.01413,1.16549,1.34297,0.73228,0.69986,0.74887,0.46338,1.21356,1.06729,1.561,0.0093565,0.0093565,0.0093565
15,1555.62,1.00067,1.1426,1.33608,0.76891,0.75047,0.78427,0.4874,1.21,1.05015,1.58141,0.009307,0.009307,0.009307
16,1659.49,0.98543,1.12482,1.32531,0.77797,0.76446,0.79798,0.49152,1.18405,1.05696,1.58414,0.0092575,0.0092575,0.0092575
17,1763.16,0.97585,1.10559,1.32259,0.81287,0.73415,0.81515,0.52098,1.17213,0.96615,1.52631,0.009208,0.009208,0.009208
18,1866.99,0.96452,1.10423,1.315,0.7363,0.72011,0.76087,0.47269,1.24216,1.13639,1.61056,0.0091585,0.0091585,0.0091585
19,1970.62,0.95482,1.08633,1.30323,0.81739,0.74259,0.82979,0.52614,1.16145,0.97013,1.50038,0.009109,0.009109,0.009109
20,2074.44,0.963,1.08827,1.30788,0.7847,0.75919,0.82424,0.54034,1.15071,0.91827,1.50298,0.0090595,0.0090595,0.0090595
21,2178.29,0.94843,1.07222,1.3086,0.80538,0.75413,0.81747,0.53268,1.13575,0.92098,1.50794,0.00901,0.00901,0.00901
22,2281.75,0.93056,1.03525,1.28975,0.81817,0.77448,0.8337,0.54248,1.14072,0.90452,1.50223,0.0089605,0.0089605,0.0089605
23,2385.02,0.91831,1.0219,1.27761,0.78614,0.74906,0.83042,0.55298,1.07863,0.8935,1.44721,0.008911,0.008911,0.008911
24,2488.24,0.91619,1.01351,1.27995,0.8536,0.75873,0.85729,0.57523,1.11846,0.86754,1.47363,0.0088615,0.0088615,0.0088615
25,2591.46,0.90325,0.99114,1.27087,0.87103,0.74333,0.83875,0.56135,1.09328,0.87866,1.46798,0.008812,0.008812,0.008812
26,2694.7,0.90805,0.98706,1.26511,0.86596,0.7601,0.8479,0.55891,1.11298,0.85551,1.46804,0.0087625,0.0087625,0.0087625
27,2798.31,0.90031,0.98491,1.26744,0.81994,0.76481,0.84436,0.5663,1.07345,0.87449,1.42775,0.008713,0.008713,0.008713
28,2902.06,0.89794,0.97348,1.2622,0.78276,0.80374,0.83872,0.57501,1.0749,0.82156,1.43134,0.0086635,0.0086635,0.0086635
29,3005.53,0.87705,0.95123,1.25278,0.83314,0.79525,0.84929,0.55868,1.09881,0.86172,1.47828,0.008614,0.008614,0.008614
30,3108.86,0.87926,0.93817,1.24814,0.81181,0.78514,0.84748,0.56573,1.08453,0.87079,1.43881,0.0085645,0.0085645,0.0085645
31,3212.3,0.86909,0.94291,1.24274,0.79672,0.82443,0.8517,0.55523,1.1093,0.83901,1.47369,0.008515,0.008515,0.008515
32,3315.58,0.86177,0.91791,1.23459,0.85724,0.79962,0.85541,0.57241,1.0537,0.84823,1.4338,0.0084655,0.0084655,0.0084655
33,3419,0.85446,0.90867,1.23077,0.87068,0.75639,0.84687,0.56768,1.08214,0.81337,1.4398,0.008416,0.008416,0.008416
34,3522.47,0.84606,0.89789,1.22513,0.82262,0.78422,0.86037,0.57472,1.06584,0.8306,1.43307,0.0083665,0.0083665,0.0083665
35,3625.77,0.8568,0.90384,1.23262,0.84603,0.77736,0.84827,0.59048,1.01704,0.80311,1.38586,0.008317,0.008317,0.008317
36,3729.23,0.8455,0.88546,1.22419,0.8535,0.79617,0.85014,0.5938,1.04574,0.80098,1.40928,0.0082675,0.0082675,0.0082675
37,3832.65,0.83246,0.88272,1.21405,0.84285,0.8249,0.88053,0.61483,1.01628,0.76946,1.37855,0.008218,0.008218,0.008218
38,3936.13,0.83204,0.87472,1.21244,0.85755,0.76562,0.85047,0.58059,1.04608,0.79857,1.444,0.0081685,0.0081685,0.0081685
39,4039.53,0.81524,0.86201,1.20333,0.8643,0.83813,0.87437,0.60105,1.03371,0.73678,1.40769,0.008119,0.008119,0.008119
40,4142.92,0.82578,0.86215,1.2084,0.82076,0.8034,0.86108,0.60014,1.01521,0.80155,1.39268,0.0080695,0.0080695,0.0080695
41,4246.34,0.80342,0.83266,1.19955,0.84759,0.80331,0.86009,0.58721,1.04831,0.79703,1.43105,0.00802,0.00802,0.00802
42,4349.62,0.81402,0.84501,1.20571,0.85769,0.76494,0.85088,0.60146,1.00607,0.79713,1.38586,0.0079705,0.0079705,0.0079705
43,4452.94,0.80367,0.83642,1.19927,0.81017,0.84502,0.85719,0.60748,0.99561,0.76066,1.35881,0.007921,0.007921,0.007921
44,4556.37,0.80012,0.82663,1.18907,0.85213,0.7647,0.84096,0.59862,1.00715,0.77287,1.3754,0.0078715,0.0078715,0.0078715
45,4659.36,0.7938,0.80411,1.18348,0.87147,0.82335,0.88051,0.61504,0.99505,0.74683,1.39241,0.007822,0.007822,0.007822
46,4762.54,0.78811,0.79765,1.18499,0.84904,0.82099,0.86889,0.61843,0.99078,0.74622,1.3732,0.0077725,0.0077725,0.0077725
47,4865.75,0.78584,0.79963,1.17922,0.85233,0.81164,0.8648,0.6125,0.97349,0.75851,1.35335,0.007723,0.007723,0.007723
48,4968.93,0.78069,0.79741,1.1799,0.83616,0.84974,0.86934,0.6171,0.99021,0.74134,1.36102,0.0076735,0.0076735,0.0076735
49,5072.01,0.78001,0.78948,1.18359,0.81546,0.8511,0.86594,0.60854,0.99423,0.77112,1.35445,0.007624,0.007624,0.007624
50,5175.24,0.7688,0.76846,1.16569,0.9091,0.81778,0.88113,0.61804,1.00162,0.71747,1.38524,0.0075745,0.0075745,0.0075745
51,5278.59,0.7717,0.78144,1.16948,0.85302,0.84694,0.88697,0.628,0.97125,0.70771,1.34556,0.007525,0.007525,0.007525
52,5381.87,0.76422,0.76855,1.16385,0.87487,0.83872,0.89075,0.64163,0.98788,0.69283,1.34932,0.0074755,0.0074755,0.0074755
53,5485.18,0.76067,0.75485,1.16545,0.87225,0.83625,0.88423,0.63825,0.98407,0.69783,1.34258,0.007426,0.007426,0.007426
54,5588.38,0.75822,0.75803,1.15982,0.84899,0.81999,0.85935,0.61211,0.96377,0.73588,1.3314,0.0073765,0.0073765,0.0073765
55,5691.63,0.75462,0.75641,1.15761,0.89334,0.83961,0.89145,0.64103,0.95777,0.69836,1.33373,0.007327,0.007327,0.007327
56,5794.74,0.74319,0.73205,1.14984,0.85224,0.80225,0.86553,0.62419,0.98933,0.70006,1.35863,0.0072775,0.0072775,0.0072775
57,5897.85,0.73993,0.73944,1.14794,0.89155,0.82296,0.88619,0.65111,0.958,0.67468,1.3459,0.007228,0.007228,0.007228
58,6001.17,0.73615,0.73329,1.14821,0.86847,0.83638,0.8752,0.63554,0.92527,0.70756,1.30459,0.0071785,0.0071785,0.0071785
59,6104.34,0.73311,0.72991,1.14184,0.88838,0.80647,0.8878,0.64863,0.93539,0.6873,1.3205,0.007129,0.007129,0.007129
60,6207.52,0.72801,0.71974,1.1396,0.91099,0.81785,0.89958,0.64338,0.97137,0.67443,1.34809,0.0070795,0.0070795,0.0070795
61,6310.83,0.72067,0.71378,1.13774,0.87341,0.84153,0.88152,0.64002,0.95205,0.70402,1.32174,0.00703,0.00703,0.00703
62,6414.14,0.72289,0.69743,1.13135,0.89988,0.83225,0.90301,0.65974,0.94187,0.66999,1.31241,0.0069805,0.0069805,0.0069805
63,6517.37,0.70861,0.6981,1.12895,0.86566,0.86227,0.90215,0.65669,0.94379,0.64659,1.32093,0.006931,0.006931,0.006931
64,6620.68,0.71611,0.70404,1.13604,0.91002,0.79758,0.89557,0.65979,0.93194,0.65345,1.31338,0.0068815,0.0068815,0.0068815
65,6723.76,0.70709,0.68848,1.12185,0.8939,0.84874,0.88002,0.64621,0.95304,0.66767,1.32431,0.006832,0.006832,0.006832
66,6826.95,0.71065,0.69135,1.12665,0.88075,0.86546,0.88803,0.65037,0.93403,0.65715,1.31262,0.0067825,0.0067825,0.0067825
67,6930.3,0.69992,0.67969,1.12375,0.92671,0.83939,0.90101,0.6597,0.92739,0.65801,1.30528,0.006733,0.006733,0.006733
68,7033.15,0.70395,0.67925,1.12233,0.89379,0.85455,0.89945,0.66266,0.92714,0.66038,1.32257,0.0066835,0.0066835,0.0066835
69,7136.25,0.69518,0.67015,1.12108,0.88911,0.85828,0.88913,0.64651,0.91959,0.64875,1.31151,0.006634,0.006634,0.006634
70,7239.13,0.69508,0.68087,1.11764,0.90793,0.83755,0.89151,0.65874,0.91952,0.63062,1.29256,0.0065845,0.0065845,0.0065845
71,7342.02,0.68829,0.66722,1.11585,0.90724,0.82147,0.88588,0.64721,0.91685,0.64313,1.31068,0.006535,0.006535,0.006535
72,7444.83,0.68541,0.65723,1.11277,0.88427,0.84335,0.89262,0.65313,0.92719,0.64724,1.30528,0.0064855,0.0064855,0.0064855
73,7547.4,0.67864,0.64359,1.10381,0.89294,0.84454,0.89822,0.66208,0.93339,0.61633,1.32523,0.006436,0.006436,0.006436
74,7650.02,0.67393,0.64397,1.10277,0.91462,0.83318,0.89557,0.65662,0.91909,0.62392,1.32003,0.0063865,0.0063865,0.0063865
75,7752.64,0.67754,0.64496,1.10866,0.88905,0.84723,0.90496,0.6658,0.91694,0.62786,1.3177,0.006337,0.006337,0.006337
76,7855.41,0.66753,0.64374,1.10357,0.86273,0.84431,0.89326,0.66331,0.90626,0.63413,1.29265,0.0062875,0.0062875,0.0062875
77,7958.11,0.67207,0.62864,1.10151,0.87749,0.85294,0.90139,0.67041,0.92985,0.6302,1.32148,0.006238,0.006238,0.006238
78,8061.14,0.66213,0.62799,1.08945,0.90498,0.8357,0.90353,0.67993,0.88624,0.59046,1.26253,0.0061885,0.0061885,0.0061885
79,8163.91,0.66022,0.62393,1.092,0.92163,0.82308,0.899,0.67404,0.89427,0.62332,1.27085,0.006139,0.006139,0.006139
80,8266.66,0.65341,0.6232,1.08542,0.89635,0.85799,0.90811,0.68394,0.86962,0.60336,1.26886,0.0060895,0.0060895,0.0060895
81,8369.44,0.652,0.62247,1.08886,0.91656,0.8256,0.88903,0.66293,0.89499,0.61829,1.29667,0.00604,0.00604,0.00604
82,8472.16,0.64518,0.61595,1.08166,0.8872,0.86489,0.88771,0.66419,0.90906,0.62766,1.30687,0.0059905,0.0059905,0.0059905
83,8574.98,0.6542,0.61204,1.08804,0.87424,0.88029,0.9135,0.67047,0.89458,0.60519,1.28624,0.005941,0.005941,0.005941
84,8677.64,0.64943,0.60864,1.08395,0.91838,0.83879,0.91554,0.68894,0.86885,0.58381,1.25872,0.0058915,0.0058915,0.0058915
85,8780.46,0.6387,0.60266,1.08241,0.89574,0.86924,0.91251,0.67723,0.89315,0.59189,1.28121,0.005842,0.005842,0.005842
86,8883.17,0.63564,0.58953,1.07543,0.92187,0.84192,0.90676,0.68202,0.88952,0.60858,1.30137,0.0057925,0.0057925,0.0057925
87,8985.94,0.63536,0.59867,1.07562,0.90807,0.85184,0.90632,0.67854,0.88768,0.60545,1.26395,0.005743,0.005743,0.005743
88,9088.65,0.629,0.58909,1.07476,0.88886,0.85892,0.89308,0.68128,0.87291,0.59695,1.25729,0.0056935,0.0056935,0.0056935
89,9191.37,0.6371,0.59917,1.07479,0.90097,0.85379,0.91111,0.68516,0.87517,0.60058,1.2652,0.005644,0.005644,0.005644
90,9294,0.62023,0.58029,1.06395,0.8954,0.85513,0.90995,0.67569,0.87782,0.60955,1.27579,0.0055945,0.0055945,0.0055945
91,9396.62,0.62144,0.57137,1.06714,0.92186,0.83157,0.91154,0.68144,0.8857,0.60651,1.27518,0.005545,0.005545,0.005545
92,9499.33,0.61416,0.57348,1.06252,0.8596,0.84934,0.90665,0.69037,0.87378,0.58124,1.26431,0.0054955,0.0054955,0.0054955
93,9602.24,0.62274,0.57879,1.07119,0.89142,0.88117,0.91484,0.70267,0.87903,0.58575,1.26755,0.005446,0.005446,0.005446
94,9705.12,0.6175,0.58117,1.0682,0.90781,0.841,0.90101,0.68512,0.85876,0.61029,1.24586,0.0053965,0.0053965,0.0053965
95,9807.94,0.61932,0.58079,1.06689,0.90049,0.85019,0.90893,0.69759,0.86316,0.59576,1.25495,0.005347,0.005347,0.005347
96,9910.81,0.60232,0.56102,1.04913,0.90098,0.84304,0.91122,0.69715,0.83573,0.58368,1.23822,0.0052975,0.0052975,0.0052975
97,10013.5,0.60511,0.56379,1.05736,0.90614,0.88199,0.92271,0.71113,0.85048,0.55315,1.24366,0.005248,0.005248,0.005248
98,10116.4,0.5996,0.55471,1.05617,0.90435,0.86421,0.9155,0.70373,0.86725,0.56522,1.25707,0.0051985,0.0051985,0.0051985
99,10219,0.60125,0.54793,1.05272,0.93175,0.86026,0.91531,0.69681,0.89914,0.5709,1.28233,0.005149,0.005149,0.005149
100,10321.8,0.60027,0.55398,1.0538,0.91162,0.86771,0.91232,0.69316,0.87633,0.58718,1.26534,0.0050995,0.0050995,0.0050995
101,10424.5,0.59704,0.5462,1.0497,0.90093,0.84605,0.90498,0.69462,0.86173,0.58565,1.2656,0.00505,0.00505,0.00505
102,10527.3,0.58884,0.5429,1.05001,0.90979,0.86742,0.9098,0.69572,0.8745,0.55804,1.28069,0.0050005,0.0050005,0.0050005
103,10630,0.58991,0.54052,1.04427,0.89399,0.87616,0.91642,0.70937,0.86547,0.57021,1.25514,0.004951,0.004951,0.004951
104,10733.4,0.5905,0.54803,1.04643,0.90518,0.85764,0.90931,0.70122,0.87319,0.56712,1.27907,0.0049015,0.0049015,0.0049015
